name,address,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Thành Thuý Hotel (Thanh Thuy Hotel),"66 - 68 Điện Biên Phủ, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam","9,1",168,9.2,9.1,9.0,9.0,9.1,0,0,0,0,0,0,1,1,1,766.263,417.361
Muong Thanh Luxury Buon Ma Thuot Hotel,"Số 81 Nguyễn Tất Thành, Phường Tân An, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,7",2560,9.0,8.9,8.7,8.6,8.9,0,1,0,0,1,1,1,1,1,3.000.000,1.170.107
Khách sạn Thanh Mai (Hotel Thanh Mai),"170 Ngo Quyen, Tan An Ward, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam","9,1",1380,9.3,9.4,9.2,9.1,9.2,1,1,1,0,1,1,1,1,1,Không có giá trước,552.423
The Coffee City - Healing & Retreats,"Robusta, Nguyen Dinh Chieu, Buon Ma Thuot City, Dak Lak, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,3",312,8.6,8.8,8.0,8.4,9.1,1,1,1,1,1,1,1,1,1,Không có giá trước,Không có giá sau
Sai Gon Ban Me Hotel,"Số 01-03, Đường Phan Chu Trinh, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,2",1062,9.2,8.2,8.0,7.7,8.1,0,1,0,0,1,1,1,1,1,1.650.018,883.884
Khách sạn và Spa Hai Bà Trưng (Hai Ba Trung Hotel and Spa),"08, Đường Hai Bà Trưng, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam","8,2",399,9.0,8.6,7.9,7.7,8.2,0,1,0,0,1,1,1,1,1,1.017.217,646.654
Hami Garden - Authentic & Natural Resort,"No. 200, Da Tuong Street, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 63000","8,8",604,8.5,9.1,8.8,8.9,9.0,1,1,0,0,0,0,1,1,1,Không có giá trước,953.158
Nice Hotel Buôn Ma Thuột,"226 Nguyễn Công Trứ, Tự An, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 63000","8,1",264,8.8,8.9,8.6,8.4,8.6,1,0,0,0,1,0,1,1,1,1.033.275,259.144
Khách sạn Hiệp Thạnh (Khach san Hiep Thanh),"203 Đinh Tiên Hoàng Tòa nhà 5 tầng, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam","8,3",412,8.2,8.6,8.6,8.1,8.5,0,0,0,0,0,0,1,1,1,Không có giá trước,Không có giá sau
Triệu Vũ Hotel & Apartment,"27 Lê Đại Hành, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 63106","7,6",572,8.5,8.3,8.0,7.2,7.3,1,1,0,0,1,0,1,1,1,1.000.000,222.170
SOJO Hotel Dak Lak,"15 Hùng Vương, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","9,1",649,9.4,9.5,9.0,9.2,9.6,1,1,0,1,1,1,1,1,1,1.370.804,728.999
Kim Dong Homestay,"20 Kim Đồng, Tân An, Kim Dong Homestay, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","9,0",84,9.4,9.5,9.2,9.3,9.4,1,1,1,0,1,1,1,1,1,890.000,546.296
Khách sạn Elephants (Elephants Hotel),"142 Phan Chu Trinh, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam","8,8",903,9.3,9.0,8.8,8.7,9.1,0,1,0,0,1,1,1,1,1,1.144.089,941.320
Nhà Nghỉ Thượng Phong (Thuong Phong Motel),"Thái Phiên, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,1",778,8.3,8.4,8.4,7.7,8.1,0,0,0,0,0,0,0,1,0,Không có giá trước,Không có giá sau
Buon Ma Thuot Hotel,"03 Hung Vuong, P.Tu An, TP.Buon Ma Thuot, Dak Lak, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,5",743,9.2,8.7,8.6,8.3,8.8,1,1,0,0,1,0,1,1,1,Không có giá trước,Không có giá sau
Thanh Bình Hotel - 47 Y Bih - BMT,"47 Y Bih Alêô, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 63000","8,6",384,9.2,8.9,8.7,8.5,8.8,1,0,0,0,1,0,1,1,1,Không có giá trước,400.000
Hotel Ban Mê,"C14 Ngô Gia Tự, Tân An, Hotel Ban Mê, Trung tâm thành phố Buôn Ma Thuột, Buôn Ma Thuột, Việt Nam, 630000","8,2",38,8.9,9.7,9.1,8.1,8.9,1,0,0,0,0,0,1,1,1,450.000,227.403
