name,address,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Townhouse District 10 Near Children Hospital 1 Formerly Cuong Thanh 3 Hotel,"252/43-45 Cao Thang, Phuong 12, Quan 10, Ho Chi Minhnullnull, Ho-Chi-Minh, Quận 10, Hồ Chí Minh, Việt Nam, 550000","7,8",74,7.9,8.4,8.0,8.2,7.9,1,0,0,0,0,0,1,1,1,2.073.261,638.872
Vinhome Grand Park HCM,"Vinhome Grand Park. 512 Nguyen Xien str., Long Thanh My ward , Thu Duc city, Ho Chi Minh city, Quận 9, Hồ Chí Minh, Việt Nam","7,8",218,8.2,8.4,8.0,7.9,8.1,1,0,0,0,0,1,0,1,1,392.297,248.654
Khách sạn Minh Anh Gò Vấp (Khách sạn Minh Anh Gò Vấp ),"No. 65, Street No. 1, Thong Nhat, Ward 11, Go Vap, Ho Chi Minh City, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000","8,3",155,8.8,9.2,8.8,8.3,8.5,0,0,0,0,0,0,1,1,1,374.621,277.778
Khu căn hộ cao cấp Sherwood Residence (Sherwood Residence),"127 Pasteur, Quận 3 , Quận 3, Hồ Chí Minh, Việt Nam, 700000","9,1",5017,8.9,9.3,9.2,9.1,9.3,1,1,0,1,1,1,1,1,0,Không có giá trước,Không có giá sau
VND HOTEL,"66 Nguyễn Gia Trí, VND HOTEL, Bình Thạnh, Hồ Chí Minh, Việt Nam","7,9",362,6.4,6.9,5.5,5.2,5.1,1,0,0,0,0,0,1,1,1,Không có giá trước,366.667
Red Sun Airport Saigon Hotel,"8-9 Tran Quoc Hoan, Ward 4, Tan Binh District, Ho Chi Minh City, Tân Bình, Hồ Chí Minh, Việt Nam, 70000","7,7",347,8.3,8.2,7.9,7.6,7.9,0,0,0,0,1,0,1,1,0,861.732,641.668
Victory Hotel Saigon,"141 Nam Kỳ Khởi Nghĩa, Quận 3, Quận 3, Hồ Chí Minh, Việt Nam, 70000","7,8",3588,8.5,7.9,7.9,7.5,7.8,1,1,0,0,1,1,1,1,1,2.305.591,1.085.302
LUNA Luxury Residence - Vinhomes Landmark,"No. 720A, Dien Bien Phu Street, Bình Thạnh, Hồ Chí Minh, Việt Nam","8,6",187,8.5,8.0,8.5,8.8,8.8,0,0,0,1,0,0,1,1,1,3.358.894,872.963
Tropical House,"413/37A Lê Văn Sỹ, Phường 12, Quận 3, TP. HCM, Quận 3, Hồ Chí Minh, Việt Nam, 700000","7,9",417,8.4,8.5,8.3,8.1,8.4,1,0,0,1,1,0,1,1,1,Không có giá trước,462.963
Cozrum Homes - Sonata Residence,"No. 41, Nguyen Thi Thap, Tan Phu Ward, District 7, Quận 7, Hồ Chí Minh, Việt Nam","7,4",5077,7.6,7.8,7.7,7.4,Không có,1,1,1,0,0,1,1,1,1,2.000.000,620.913
